Label,Latitude,Longitude,Institution
Bar with lodging,-15.648908,35.018379,MLW
Bar with lodging,-15.52696,35.022229,MLW
Bar with lodging,-15.527231,35.022243,MLW
Bar with lodging,-15.575179,35.012229,MLW
Bar with lodging,-15.648918,35.018332,MLW
Bar with lodging,-15.648782,35.018112,MLW
Bar with lodging,-15.683564,34.980928,MLW
Bar with lodging,-15.683411,34.982727,MLW
Bar with lodging,-15.683973,34.982839,MLW
Bar with lodging,-15.697795,34.999332,MLW
Bar with lodging,-15.697835,34.99952,MLW
Bar with lodging,-15.745574,35.017365,MLW
Bar with lodging,-15.733735,35.011092,MLW
Bar with lodging,-15.727494,35.054843,MLW
Bar with lodging,-15.727741,35.054929,MLW
Bar with lodging,-15.732384,35.043785,MLW
Bar with lodging,-15.725561,35.018628,MLW
Bar with lodging,-15.760788,35.005973,MLW
Bar with lodging,-15.791855,35.084272,MLW
Bar with lodging,-15.8275,35.087881,MLW
Bar with lodging,-15.883133,35.074729,MLW
Bar with lodging,-15.885192,35.062796,MLW
Bar with lodging,-15.838798,35.002026,MLW
Bar with lodging,-15.814928,34.993574,MLW
Bar with lodging,-15.763248,34.977043,MLW
Bar with lodging,-15.774319,35.043877,MLW
Bar with lodging,-15.771707,35.031586,MLW
Bar with lodging,-15.772166,35.031157,MLW
Bar with lodging,-15.732961,35.080863,MLW
Bar with lodging,-15.781502,35.072825,MLW
Bar with lodging,-15.789306,35.067222,MLW
Bar with lodging,-15.824013,35.087414,MLW
Bar with lodging,-15.823759,35.087253,MLW
Bar with lodging,-15.823498,35.087513,MLW
Bar with lodging,-15.833895,35.087537,MLW
Bar with lodging,-15.84084,35.076086,MLW
Bar with lodging,-15.838908,35.075487,MLW
Bar with lodging,-15.745617,35.016808,MLW
Bar with lodging,-15.733011,35.080856,MLW
Bar with lodging,-15.764212,34.979824,MLW
Bar with lodging,-15.52755464,35.02199089,Pakachere
Bar with lodging,-15.46334833,34.94397833,Pakachere
Bar with lodging,-15.810256,34.996645,Pakachere
Bar with lodging,-15.770386,35.043807,Pakachere
Bar with lodging,-15.65400609,35.02121327,Pakachere
Bar with lodging,-15.772593,35.040365,Pakachere
Bar with lodging,-15.774925,35.044839,Pakachere
Bar with lodging,-15.841639,35.045528,Pakachere
Bar with lodging,-15.77141,35.028005,Pakachere
Bar with lodging,-15.785778,35.013172,Pakachere
Bar with lodging,-15.64910667,35.01873,Pakachere
Bar with lodging,-15.773288,35.034858,Pakachere
Bar with lodging,-15.841757,35.044305,Pakachere
Bar with lodging,-15.841639,35.045528,Pakachere
Bar with lodging,-15.830602,35.045528,Pakachere
Bar with lodging,-15.841592,35.044133,Pakachere
Bar with lodging,-15.818388,35.010762,Pakachere
Bar with lodging,-15.64913333,35.01857167,Pakachere
Bar with lodging,-15.828041,35.008007,Pakachere
Bar with lodging,-15.772467,35.042774,Pakachere
Bar with lodging,-15.830219,35.051034,Pakachere
Bar with lodging,-15.839304,35.046216,Pakachere
Bar with lodging,-15.78747776,35.00404557,Pakachere
Bar with lodging,-15.69813895,34.99896918,Pakachere
Bar with lodging,-15.76267038,34.98052977,Pakachere
Bar with lodging,-15.68412023,34.98460497,Pakachere
Bar with lodging,-15.746487,35.08819,Pakachere
Bar with lodging,-15.746616,35.078903,Pakachere
Bar with lodging,-15.829682,35.084751,Pakachere
Bar with lodging,-15.844075,35.068238,Pakachere
Bar with lodging,-15.775917,35.082343,Pakachere
Bar with lodging,-15.778522,35.074427,Pakachere
Bar with lodging,-15.762938,35.075807,Pakachere
Bar with lodging,-15.787446,35.08819,Pakachere
Bar with lodging,-15.769051,35.075119,Pakachere
Bar with lodging,-15.787461,35.006691,Pakachere
Bar with lodging,-15.787475,35.006489,Pakachere
Bar with lodging,-15.7456573,35.01707519,Pakachere
Bar with lodging,-15.74562992,35.01708516,Pakachere
Bar with lodging,-15.71828333,35.070285,Pakachere
Bar with lodging,-15.732126,35.044495,Pakachere
Bar with lodging,-15.72269053,35.01953647,Pakachere
Bar with lodging,-15.770139,35.002154,Pakachere
Bar with lodging,-15.76782095,35.01210434,Pakachere
Bar with lodging,-15.69691418,35.02625775,Pakachere
Bar with lodging,-15.74647526,35.0099073,Pakachere
Bar with lodging,-15.70302298,35.01658792,Pakachere
Bar with lodging,-15.73369204,35.01084079,Pakachere
Bar with lodging,-15.74563476,35.01708872,Pakachere
Bar with lodging,-15.72801639,35.05497931,Pakachere
Bar with lodging,-15.948394,34.920166,Pakachere
Bar with lodging,-15.90818,34.956692,Pakachere
Bar with lodging,-15.90818,34.956692,Pakachere
Bar with lodging,-15.90818,34.956692,Pakachere
Bar with lodging,-15.826726,34.987691,Pakachere
Bar with lodging,-15.811833,34.996645,Pakachere
Bar with lodging,-15.90818,34.956692,Pakachere
Bar with lodging,-15.870473,34.97116,Pakachere
Bar with lodging,-15.806157,34.989758,Pakachere
Bar with lodging,-15.806157,34.989758,Pakachere
Bar with lodging,-15.90818,34.956692,Pakachere
Bar with lodging,-15.90818,34.956692,Pakachere
Bar without lodging,-15.805135,35.021986,MLW
Bar without lodging,-15.805068,35.022043,MLW
Bar without lodging,-15.804978,35.021989,MLW
Bar without lodging,-15.804978,35.021989,MLW
Bar without lodging,-15.722254,35.019707,MLW
Bar without lodging,-15.721789,35.019529,MLW
Bar without lodging,-15.767246,35.074136,MLW
Bar without lodging,-15.727089,35.019437,MLW
Bar without lodging,-15.791699,35.084204,MLW
Bar without lodging,-15.839087,35.075491,MLW
Bar without lodging,-15.68945,34.990246,MLW
Bar without lodging,-15.644074,35.016719,MLW
Bar without lodging,-15.650821,35.021263,MLW
Bar without lodging,-15.697384,34.999772,MLW
Bar without lodging,-15.683965,34.984038,MLW
Bar without lodging,-15.724833,35.017389,MLW
Bar without lodging,-15.526976,35.022179,MLW
Bar without lodging,-15.526593,35.022852,MLW
Bar without lodging,-15.526636,35.022808,MLW
Bar without lodging,-15.649732,35.019619,MLW
Bar without lodging,-15.650745,35.02107,MLW
Bar without lodging,-15.657246,35.021883,MLW
Bar without lodging,-15.657367,35.022002,MLW
Bar without lodging,-15.697876,34.999407,MLW
Bar without lodging,-15.725692,35.018225,MLW
Bar without lodging,-15.72285,35.01933,MLW
Bar without lodging,-15.722542,35.019465,MLW
Bar without lodging,-15.721512,35.019683,MLW
Bar without lodging,-15.722598,35.01957,MLW
Bar without lodging,-15.766102,35.004303,MLW
Bar without lodging,-15.769457,35.000275,MLW
Bar without lodging,-15.769629,35.000214,MLW
Bar without lodging,-15.770317,35.000152,MLW
Bar without lodging,-15.770361,35.00016,MLW
Bar without lodging,-15.791489,35.084546,MLW
Bar without lodging,-15.791728,35.084245,MLW
Bar without lodging,-15.83257,35.084898,MLW
Bar without lodging,-15.83932,35.006544,MLW
Bar without lodging,-15.839312,35.006558,MLW
Bar without lodging,-15.839605,35.001241,MLW
Bar without lodging,-15.839767,35.000888,MLW
Bar without lodging,-15.818934,35.011397,MLW
Bar without lodging,-15.911277,34.953893,MLW
Bar without lodging,-15.764239,34.97986,MLW
Bar without lodging,-15.775189,34.980068,MLW
Bar without lodging,-15.777235,35.041264,MLW
Bar without lodging,-15.753192,35.078855,MLW
Bar without lodging,-15.752884,35.079075,MLW
Bar without lodging,-15.752771,35.079121,MLW
Bar without lodging,-15.752779,35.07914,MLW
Bar without lodging,-15.752776,35.079147,MLW
Bar without lodging,-15.767768,35.074343,MLW
Bar without lodging,-15.767759,35.074321,MLW
Bar without lodging,-15.767764,35.074339,MLW
Bar without lodging,-15.767878,35.074366,MLW
Bar without lodging,-15.767399,35.074798,MLW
Bar without lodging,-15.828406,35.087667,MLW
Bar without lodging,-15.835372,35.110141,MLW
Bar without lodging,-15.886977,35.06428,MLW
Bar without lodging,-15.885451,35.06351,MLW
Bar without lodging,-15.844568,35.059683,MLW
Bar without lodging,-15.728777,35.019913,MLW
Bar without lodging,-15.885425,35.063146,MLW
Bar without lodging,-15.815547,35.015926,Pakachere
Bar without lodging,-15.776253,35.030728,Pakachere
Bar without lodging,-15.830602,35.045528,Pakachere
Bar without lodging,-15.830602,35.045528,Pakachere
Bar without lodging,-15.809114,35.014893,Pakachere
Bar without lodging,-15.832871,35.046904,Pakachere
Bar without lodging,-15.83965,35.008352,Pakachere
Bar without lodging,-15.841639,35.045528,Pakachere
Bar without lodging,-15.801484,35.008352,Pakachere
Bar without lodging,-15.780224,35.034858,Pakachere
Bar without lodging,-15.809429,35.014893,Pakachere
Bar without lodging,-15.834995,35.04003,Pakachere
Bar without lodging,-15.841766,35.044839,Pakachere
Bar without lodging,-15.830602,35.045528,Pakachere
Bar without lodging,-15.809429,35.014893,Pakachere
Bar without lodging,-15.78737756,35.00405727,Pakachere
Bar without lodging,-15.77397686,34.98102845,Pakachere
Bar without lodging,-15.69817093,34.99936273,Pakachere
Bar without lodging,-15.829184,35.078903,Pakachere
Bar without lodging,-15.889684,35.062045,Pakachere
Bar without lodging,-15.84812,35.05998,Pakachere
Bar without lodging,-15.90734,35.067206,Pakachere
Bar without lodging,-15.90734,35.067206,Pakachere
Bar without lodging,-15.840262,35.08373,Pakachere
Bar without lodging,-15.843075,35.05998,Pakachere
Bar without lodging,-15.787446,35.08819,Pakachere
Bar without lodging,-15.787446,35.08819,Pakachere
Bar without lodging,-15.801268,35.003365,Pakachere
Bar without lodging,-15.799463,35.017647,Pakachere
Bar without lodging,-15.855496,35.062733,Pakachere
Bar without lodging,-15.801555,35.005828,Pakachere
Bar without lodging,-15.770139,35.002154,Pakachere
Bar without lodging,-15.72249662,35.01929723,Pakachere
Bar without lodging,-15.948394,34.920166,Pakachere
Bar without lodging,-15.837071,34.994923,Pakachere
Bar without lodging,-15.812145,35.006975,Pakachere
Bar without lodging,-15.911531,34.952213,Pakachere
Bar without lodging,-15.832027,34.988036,Pakachere
Market,-15.839246,35.006777,MLW
Others,-15.832871,35.046904,Pakachere
Rest house/lodge,-15.783308,34.978134,MLW
Rest house/lodge,-15.683874,34.982809,MLW
Rest house/lodge,-15.656557,35.021737,MLW
Rest house/lodge,-15.651264,35.020422,MLW
Rest house/lodge,-15.684236,34.981113,MLW
Rest house/lodge,-15.723217,35.019285,MLW
Rest house/lodge,-15.768215,35.000188,MLW
Rest house/lodge,-15.772779,34.999777,MLW
Rest house/lodge,-15.786874,35.011394,MLW
Rest house/lodge,-15.786083,35.008782,MLW
Rest house/lodge,-15.788312,35.005927,MLW
Rest house/lodge,-15.831202,35.085592,MLW
Rest house/lodge,-15.833409,35.094984,MLW
Rest house/lodge,-15.744215,35.081032,MLW
Rest house/lodge,-15.768278,35.074671,MLW
Rest house/lodge,-15.886419,35.063818,MLW
Rest house/lodge,-15.526265,35.022675,MLW
Rest house/lodge,-15.527882,35.023548,MLW
Rest house/lodge,-15.528114,35.02401,MLW
Rest house/lodge,-15.644923,35.016812,MLW
Rest house/lodge,-15.650782,35.020796,MLW
Rest house/lodge,-15.650566,35.021164,MLW
Rest house/lodge,-15.652511,35.020827,MLW
Rest house/lodge,-15.651831,35.020344,MLW
Rest house/lodge,-15.683606,34.979538,MLW
Rest house/lodge,-15.683474,34.980513,MLW
Rest house/lodge,-15.760707,35.005734,MLW
Rest house/lodge,-15.770047,35.000205,MLW
Rest house/lodge,-15.77039,35.000165,MLW
Rest house/lodge,-15.770309,34.999842,MLW
Rest house/lodge,-15.791388,35.084274,MLW
Rest house/lodge,-15.83546,35.107904,MLW
Rest house/lodge,-15.766301,35.07451,MLW
Rest house/lodge,-15.791173,35.084555,MLW
Rest house/lodge,-15.790595,35.084472,MLW
Rest house/lodge,-15.791166,35.084573,MLW
Rest house/lodge,-15.791387,35.084956,MLW
Rest house/lodge,-15.791616,35.084886,MLW
Rest house/lodge,-15.772467,35.042774,Pakachere
Rest house/lodge,-15.841698,35.044248,Pakachere
Rest house/lodge,-15.841639,35.045528,Pakachere
Rest house/lodge,-15.791534,35.004431,Pakachere
Rest house/lodge,-15.65962705,35.02216588,Pakachere
Rest house/lodge,-15.787446,35.08819,Pakachere
Rest house/lodge,-15.810319,34.996301,Pakachere
Shabeen with lodging,-15.839586,35.074883,MLW
Shabeen without lodging,-15.769999,35.03156,MLW
Shabeen without lodging,-15.527637,35.023102,MLW
Shabeen without lodging,-15.684252,34.981211,MLW
Shabeen without lodging,-15.527285,35.022253,MLW
Street,-15.787159,35.004919,MLW
Street,-15.787462,35.004034,MLW
Street,-15.83258,35.086127,Pakachere
Tarven,-15.775299,35.00215,MLW
Tarven,-15.814228,35.015955,MLW
Tarven,-15.777848,35.037753,MLW
Tarven,-15.77713246,35.00637825,Pakachere
